side,interval,ce,mean_infected,sdv_infected,p20,sdv20,p25,sdv25,p30,sdv30,p35,sdv35,p40,sdv40,p45,sdv45,p50,sdv50
10,5,7,117.65,11.9719,1.0,0.0,0.9584,0.0383,0.9023,0.0558,0.8354,0.0622,0.777,0.0667,0.7313,0.0675,0.6976,0.0695
10,5,5,117.18,11.7766,1.0,0.0,0.958,0.0381,0.9023,0.0558,0.8354,0.0624,0.7772,0.0662,0.7316,0.0675,0.6982,0.0695
10,5,3,116.87,11.7768,1.0,0.0,0.9576,0.0383,0.9027,0.0563,0.8354,0.0627,0.778,0.0665,0.7316,0.0679,0.6984,0.0694
10,5,1,116.87,11.7768,1.0,0.0,0.958,0.0385,0.9027,0.0563,0.8354,0.0627,0.778,0.0672,0.7313,0.0679,0.6982,0.0697
10,10,10,158.47,12.142,1.0,0.0,0.9456,0.039,0.887,0.0573,0.8183,0.0666,0.754,0.0683,0.7027,0.0675,0.6684,0.0674
10,10,9,156.59,12.4114,1.0,0.0,0.946,0.0393,0.8867,0.0577,0.8191,0.0657,0.7543,0.0679,0.7022,0.0671,0.6676,0.0666
10,10,7,152.39,12.3999,1.0,0.0,0.9476,0.0399,0.8893,0.0569,0.8209,0.0661,0.7558,0.0678,0.7049,0.0673,0.67,0.0662
10,10,5,149.57,12.3631,1.0,0.0,0.948,0.0394,0.8887,0.0578,0.8217,0.0669,0.7573,0.068,0.706,0.0666,0.6712,0.0652
10,10,3,148.13,11.6659,1.0,0.0,0.948,0.0394,0.889,0.057,0.8214,0.0673,0.757,0.0688,0.7051,0.0672,0.6714,0.0651
10,10,1,148.06,11.599,1.0,0.0,0.9476,0.0399,0.8883,0.058,0.8206,0.0676,0.7558,0.0695,0.7053,0.067,0.6714,0.0651
10,15,10,191.12,12.1304,1.0,0.0,0.9412,0.0377,0.8797,0.055,0.8077,0.064,0.743,0.0687,0.6942,0.0666,0.657,0.0645
10,15,9,188.53,12.012,1.0,0.0,0.9416,0.0377,0.8797,0.055,0.8077,0.0639,0.744,0.0681,0.694,0.0667,0.6564,0.0644
10,15,7,182.85,12.1247,1.0,0.0,0.9408,0.0373,0.8793,0.0563,0.8069,0.0652,0.743,0.0692,0.6947,0.0661,0.6564,0.0641
10,15,5,176.64,11.8301,1.0,0.0,0.9424,0.0385,0.8803,0.0566,0.8071,0.0656,0.7438,0.0694,0.6949,0.0663,0.6566,0.0634
10,15,3,172.55,11.8561,1.0,0.0,0.9424,0.0385,0.8813,0.057,0.8077,0.0658,0.7455,0.0695,0.6956,0.0668,0.6578,0.0629
10,15,1,171.37,11.5001,1.0,0.0,0.9424,0.0385,0.8813,0.057,0.8069,0.0658,0.7438,0.0693,0.6942,0.0673,0.6572,0.0632
10,30,10,230.18,10.7111,1.0,0.0,0.9296,0.042,0.8577,0.0565,0.788,0.068,0.7272,0.071,0.6798,0.0713,0.6476,0.0672
